ects_kolegija,tezina_kolegija,postotak_ocjene,tezina_obveze,sigurnost_prije,tip_Ispit,tip_Kolokvij,tip_Labos,tip_Mini test,tip_Ostalo,tip_Projekt,tip_Seminar,tip_Usmeni ispit,tip_Zadaće,sati_ucenja,sati_ucenja_log,id_ispitanika
9.0,8.0,50.0,8.0,8.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,44
9.0,8.0,,8.0,8.0,False,False,False,False,False,False,False,True,False,30.0,3.4339872044851463,44
4.0,4.0,20.0,5.0,3.0,False,True,False,False,False,False,False,False,False,8.0,2.1972245773362196,45
4.0,4.0,40.0,4.0,6.0,False,False,False,False,False,True,False,False,False,10.0,2.3978952727983707,45
6.0,8.0,40.0,10.0,2.0,False,False,False,False,False,True,False,False,False,60.0,4.110873864173311,45
6.0,8.0,20.0,6.0,2.0,False,True,False,False,False,False,False,False,False,15.0,2.772588722239781,45
6.0,8.0,100.0,9.0,1.0,True,False,False,False,False,False,False,False,False,60.0,4.110873864173311,45
6.0,8.0,,1.0,9.0,False,False,False,False,False,False,False,True,False,5.0,1.791759469228055,45
8.0,7.0,55.6,6.0,8.0,False,True,False,False,False,False,False,False,False,30.0,3.4339872044851463,46
8.0,7.0,39.7,4.0,7.0,False,False,False,True,False,False,False,False,False,20.0,3.044522437723423,46
3.0,1.0,49.5,2.0,9.0,False,True,False,False,False,False,False,False,False,3.0,1.3862943611198906,46
3.0,1.0,8.8,2.0,7.0,False,False,False,False,False,False,True,False,False,5.0,1.791759469228055,46
6.0,6.0,16.0,4.0,8.0,True,False,False,False,False,False,False,False,False,70.0,4.2626798770413155,46
8.0,7.0,61.5,8.0,5.0,False,True,False,False,False,False,False,False,False,30.0,3.4339872044851463,47
8.0,7.0,30.8,7.0,6.0,False,False,False,False,False,True,False,False,False,20.0,3.044522437723423,47
3.0,9.0,66.7,8.0,5.0,False,True,False,False,False,False,False,False,False,20.0,3.044522437723423,47
3.0,9.0,33.3,6.0,5.0,False,False,False,False,False,True,False,False,False,12.0,2.5649493574615367,47
5.0,8.0,125.0,7.0,6.0,True,False,False,False,False,False,False,False,False,180.0,5.198497031265826,47
5.0,8.0,,9.0,7.0,False,False,False,False,False,False,False,True,False,180.0,5.198497031265826,47
5.0,6.0,53.6,5.0,6.0,False,True,False,False,False,False,False,False,False,9.0,2.302585092994046,48
5.0,6.0,80.4,7.0,5.0,False,False,False,False,False,True,False,False,False,25.0,3.258096538021482,48
8.0,9.0,26.9,9.0,4.0,False,True,False,False,False,False,False,False,False,15.0,2.772588722239781,48
8.0,9.0,19.2,7.0,6.0,False,False,True,False,False,False,False,False,False,6.0,1.9459101490553132,48
6.0,9.0,200.0,9.0,5.0,True,False,False,False,False,False,False,False,False,30.0,3.4339872044851463,48
6.0,7.0,83.3,8.0,7.0,False,True,False,False,False,False,False,False,False,24.0,3.2188758248682006,49
6.0,7.0,83.3,7.0,8.0,False,False,False,False,False,True,False,False,False,40.0,3.713572066704308,49
4.0,4.0,65.8,3.0,7.0,False,False,False,False,False,True,False,False,False,45.0,3.828641396489095,49
4.0,4.0,52.6,5.0,5.0,False,True,False,False,False,False,False,False,False,20.0,3.044522437723423,49
6.0,8.0,172.4,8.0,4.0,True,False,False,False,False,False,False,False,False,98.0,4.59511985013459,49
6.0,8.0,,10.0,3.0,False,False,False,False,False,False,False,True,False,44.0,3.8066624897703196,49
5.0,3.0,100.0,10.0,6.0,True,False,False,False,False,False,False,False,False,600.0,6.398594934535208,50
5.0,3.0,10.0,9.0,3.0,False,False,False,False,False,False,True,False,False,100.0,4.61512051684126,50
4.0,7.0,100.0,7.0,5.0,True,False,False,False,False,False,False,False,False,200.0,5.303304908059076,50
4.0,7.0,100.0,5.0,5.0,False,True,False,False,False,False,False,False,False,80.0,4.394449154672439,50
